                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.16763,                0.52161,                0.86116,                0.99755,                0.96893,                0.98061,                0.80033,                0.14671,                0.47361,                0.84043,             0.00041462,             0.00041462,             0.00041462
                     37,                0.16714,                0.51801,                 0.8623,                0.99937,                 0.9591,                0.97615,                0.80774,                0.14105,                0.45753,                0.83716,             0.00040844,             0.00040844,             0.00040844
                     38,                0.16025,                0.50892,                0.85451,                0.99692,                0.97905,                0.98553,                0.80878,                0.14017,                0.46822,                0.83749,             0.00040225,             0.00040225,             0.00040225
                     39,                0.16154,                0.50035,                0.85471,                0.99845,                0.96559,                0.97967,                 0.8187,                 0.1371,                0.45899,                0.83848,             0.00039606,             0.00039606,             0.00039606
                     40,                0.16465,                0.51025,                0.85602,                0.99758,                0.97211,                0.98223,                 0.8129,                0.14291,                0.46529,                0.84053,             0.00038988,             0.00038988,             0.00038988
                     41,                0.15677,                0.49376,                0.85835,                0.99937,                0.97461,                0.98353,                0.81972,                 0.1392,                0.44287,                0.83162,             0.00038369,             0.00038369,             0.00038369
                     42,                0.15254,                 0.4828,                 0.8541,                0.99937,                0.95767,                0.97545,                0.80364,                0.14369,                0.45213,                0.83849,              0.0003775,              0.0003775,              0.0003775
                     43,                0.15865,                0.47974,                0.86247,                0.99846,                0.97101,                0.98159,                0.80895,                0.13706,                0.44183,                0.83283,             0.00037131,             0.00037131,             0.00037131
                     44,                0.16123,                 0.4837,                0.85345,                0.99846,                0.97818,                0.98524,                0.82097,                0.13583,                0.43668,                0.83366,             0.00036513,             0.00036513,             0.00036513
                     45,                0.15677,                 0.4761,                0.85594,                0.99788,                0.98541,                0.98862,                0.80381,                0.14539,                0.45174,                0.83744,             0.00035894,             0.00035894,             0.00035894
                     46,                0.15131,                 0.4797,                0.85335,                0.99876,                0.98232,                 0.9873,                0.82529,                0.13349,                0.44273,                0.83342,             0.00035275,             0.00035275,             0.00035275
                     47,                0.16249,                0.47629,                0.85789,                0.99781,                0.96055,                0.97639,                0.82026,                0.13143,                0.43175,                0.83231,             0.00034656,             0.00034656,             0.00034656
                     48,                0.15787,                 0.4686,                0.85991,                0.99937,                0.97125,                0.98181,                0.82298,                 0.1357,                0.42695,                0.83148,             0.00034038,             0.00034038,             0.00034038
                     49,                0.14933,                0.46631,                0.85694,                0.99848,                0.96532,                0.97886,                0.81758,                0.13534,                0.43958,                0.83345,             0.00033419,             0.00033419,             0.00033419
                     50,                0.15049,                 0.4643,                0.85632,                0.99698,                0.97867,                0.98585,                0.80825,                0.14195,                0.44479,                 0.8378,               0.000328,               0.000328,               0.000328
                     51,                0.15229,                0.46718,                0.85529,                0.99788,                0.98097,                0.98661,                0.82332,                0.13491,                0.42169,                0.83354,             0.00032181,             0.00032181,             0.00032181
                     52,                 0.1504,                0.44795,                0.85547,                0.99936,                0.97595,                0.98451,                0.81925,                0.13586,                0.42683,                0.83481,             0.00031562,             0.00031562,             0.00031562
                     53,                0.15171,                0.46018,                0.85475,                0.99789,                0.98298,                0.98765,                0.82739,                0.13222,                0.43008,                0.82811,             0.00030944,             0.00030944,             0.00030944
                     54,                0.15036,                0.46189,                0.85002,                0.99819,                0.97947,                0.98628,                0.82202,                0.13574,                0.41745,                0.83242,             0.00030325,             0.00030325,             0.00030325
                     55,                0.15583,                0.45544,                0.85632,                0.99936,                0.96979,                0.98141,                0.82071,                0.13262,                0.41443,                0.83118,             0.00029706,             0.00029706,             0.00029706
                     56,                0.14992,                0.44702,                0.85206,                0.99848,                0.97569,                0.98405,                0.82132,                0.13165,                0.41936,                 0.8313,             0.00029088,             0.00029088,             0.00029088
                     57,                0.14778,                0.44641,                0.85077,                0.99786,                0.97484,                0.98358,                0.83006,                0.13233,                0.41346,                0.82765,             0.00028469,             0.00028469,             0.00028469
                     58,                0.14461,                0.44914,                   0.85,                0.99875,                0.97869,                0.98581,                0.82546,                0.14053,                0.42359,                0.83314,              0.0002785,              0.0002785,              0.0002785
                     59,                 0.1526,                0.45082,                0.84773,                0.99846,                0.96782,                0.98041,                 0.8209,                0.13445,                0.43325,                0.82622,             0.00027231,             0.00027231,             0.00027231
                     60,                0.14817,                0.44951,                 0.8494,                0.99846,                0.97316,                0.98272,                0.82166,                0.13492,                0.42012,                0.83018,             0.00026613,             0.00026613,             0.00026613
                     61,                0.14301,                0.43417,                0.84461,                0.99849,                0.96994,                0.98116,                0.83096,                0.13273,                0.41291,                0.82785,             0.00025994,             0.00025994,             0.00025994
                     62,                0.14618,                0.44633,                0.84748,                0.99698,                0.98573,                0.98888,                0.82708,                0.13001,                0.41283,                0.82769,             0.00025375,             0.00025375,             0.00025375
                     63,                0.14468,                0.43008,                0.84819,                0.99785,                0.98045,                0.98633,                0.82792,                0.13203,                0.41001,                0.82923,             0.00024756,             0.00024756,             0.00024756
                     64,                0.14134,                0.42678,                0.84429,                0.99695,                0.97711,                0.98471,                0.82951,                0.13223,                 0.4059,                0.82735,             0.00024137,             0.00024137,             0.00024137
                     65,                0.14485,                0.42903,                 0.8497,                0.99671,                0.97656,                0.98447,                0.82862,                0.13139,                0.41398,                0.82762,             0.00023519,             0.00023519,             0.00023519
                     66,                0.14617,                0.42445,                0.84396,                0.99875,                0.97708,                 0.9845,                0.82353,                 0.1308,                0.40881,                 0.8272,               0.000229,               0.000229,               0.000229
                     67,                0.14602,                0.43095,                0.84864,                0.99787,                0.97816,                0.98509,                0.82678,                0.12983,                0.40844,                 0.8248,             0.00022281,             0.00022281,             0.00022281
                     68,                0.14087,                0.43028,                0.84922,                0.99785,                0.98096,                0.98656,                0.82597,                0.13217,                0.40817,                0.82774,             0.00021662,             0.00021662,             0.00021662
                     69,                0.14248,                0.42605,                0.84498,                0.99697,                0.97958,                0.98575,                0.82554,                0.13295,                 0.4049,                0.82803,             0.00021044,             0.00021044,             0.00021044
                     70,                0.13775,                0.42218,                0.84948,                0.99785,                0.97931,                0.98583,                0.83738,                0.12616,                0.39412,                0.82364,             0.00020425,             0.00020425,             0.00020425
                     71,                0.13749,                0.41971,                0.84376,                0.99787,                0.98039,                0.98637,                0.83066,                0.12792,                0.40358,                0.82697,             0.00019806,             0.00019806,             0.00019806
                     72,                0.14454,                 0.4207,                0.84575,                0.99638,                0.98515,                0.98857,                0.83062,                0.12686,                0.39331,                0.82508,             0.00019188,             0.00019188,             0.00019188
                     73,                0.14071,                0.41934,                0.84562,                0.99784,                0.97905,                0.98567,                0.82631,                0.12539,                 0.3964,                0.82842,             0.00018569,             0.00018569,             0.00018569
                     74,                 0.1413,                0.41112,                0.84764,                0.99846,                0.98016,                0.98629,                0.82838,                0.12945,                0.39007,                0.82611,              0.0001795,              0.0001795,              0.0001795
                     75,                0.13575,                0.41093,                0.84316,                0.99846,                0.97522,                0.98375,                0.82898,                  0.126,                0.38565,                0.82438,             0.00017331,             0.00017331,             0.00017331
                     76,                0.13926,                0.40856,                0.84622,                0.99846,                0.98323,                0.98776,                0.83127,                0.12475,                0.38651,                0.82511,             0.00016713,             0.00016713,             0.00016713
                     77,                0.14189,                0.41116,                0.84147,                0.99756,                0.98544,                0.98885,                0.83406,                0.12658,                0.38841,                0.82517,             0.00016094,             0.00016094,             0.00016094
                     78,                0.13939,                0.40997,                0.83876,                0.99937,                 0.9835,                0.98791,                0.82865,                0.12691,                0.38304,                0.82562,             0.00015475,             0.00015475,             0.00015475
                     79,                0.13905,                0.40213,                0.84136,                0.99846,                0.97598,                0.98411,                0.82928,                0.12601,                0.38396,                0.82367,             0.00014856,             0.00014856,             0.00014856
                     80,                0.13643,                0.40188,                0.83892,                0.99846,                0.98126,                0.98672,                0.83331,                0.12314,                0.37929,                  0.823,             0.00014237,             0.00014237,             0.00014237
                     81,                0.13979,                0.40378,                0.84169,                0.99937,                0.98155,                0.98695,                0.83455,                0.12326,                0.37524,                0.82298,             0.00013619,             0.00013619,             0.00013619
                     82,                0.13773,                0.39548,                0.84037,                0.99876,                0.97815,                0.98517,                0.83311,                0.12426,                0.38062,                0.82224,                0.00013,                0.00013,                0.00013
                     83,                0.13445,                0.39502,                0.83937,                0.99777,                0.97571,                0.98385,                0.82928,                0.12476,                0.37979,                0.82303,             0.00012381,             0.00012381,             0.00012381
                     84,                0.14204,                 0.4013,                0.83904,                0.99787,                0.98376,                0.98774,                0.83487,                0.12407,                0.38169,                0.82264,             0.00011763,             0.00011763,             0.00011763
                     85,                 0.1383,                0.39409,                0.83916,                0.99697,                0.98379,                0.98791,                0.83487,                0.12572,                0.38291,                0.82214,             0.00011144,             0.00011144,             0.00011144
                     86,                0.13751,                0.39753,                0.83854,                0.99877,                 0.9835,                0.98762,                0.83776,                0.12351,                0.37536,                0.82278,             0.00010525,             0.00010525,             0.00010525
                     87,                0.13455,                0.38714,                0.84171,                0.99696,                0.97763,                0.98489,                0.83008,                0.12408,                0.37797,                0.82253,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     88,                0.13042,                0.39412,                0.83598,                0.99787,                0.98321,                0.98751,                0.83731,                0.12219,                0.37713,                0.82231,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     89,                0.13195,                0.39242,                  0.839,                0.99786,                0.98181,                0.98683,                0.83533,                0.12342,                0.37538,                0.82184,             8.6688e-05,             8.6688e-05,             8.6688e-05
                     90,                0.12494,                0.39487,                0.83444,                0.99693,                0.98129,                0.98654,                0.83722,                0.12084,                0.36853,                0.81896,               8.05e-05,               8.05e-05,               8.05e-05
                     91,                0.12031,                0.40064,                0.83357,                0.99785,                0.98155,                0.98677,                0.83587,                0.12384,                0.37734,                0.82204,             7.4312e-05,             7.4312e-05,             7.4312e-05
                     92,                0.11806,                  0.397,                0.83236,                0.99784,                0.97989,                0.98602,                0.84154,                 0.1228,                0.37353,                 0.8208,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     93,                0.11445,                0.39074,                0.82768,                0.99785,                 0.9796,                0.98594,                0.83685,                0.12266,                0.37949,                 0.8214,             6.1937e-05,             6.1937e-05,             6.1937e-05
                     94,                0.11849,                0.38864,                0.82423,                0.99785,                0.98045,                0.98634,                0.83566,                0.12143,                0.37287,                0.82201,              5.575e-05,              5.575e-05,              5.575e-05
                     95,                0.10983,                0.38883,                0.82136,                0.99785,                0.98239,                0.98732,                0.83873,                 0.1205,                0.37203,                 0.8205,             4.9562e-05,             4.9562e-05,             4.9562e-05
                     96,                0.12181,                0.38449,                0.82542,                0.99785,                0.98155,                0.98691,                 0.8412,                0.12013,                0.36861,                0.82074,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     97,                0.11591,                0.37769,                0.82598,                0.99785,                0.97957,                 0.9859,                0.83936,                0.12078,                0.36413,                0.81977,             3.7188e-05,             3.7188e-05,             3.7188e-05
                     98,                 0.1106,                0.37656,                0.82191,                0.99785,                0.97957,                0.98592,                0.83945,                0.12017,                0.36362,                0.81913,                3.1e-05,                3.1e-05,                3.1e-05
                     99,                0.11504,                 0.3777,                0.82381,                0.99785,                0.97957,                0.98593,                0.84262,                0.12153,                0.36421,                0.81916,             2.4813e-05,             2.4813e-05,             2.4813e-05
                    100,                0.11967,                0.37959,                 0.8248,                0.99786,                0.98122,                0.98676,                0.84259,                0.11913,                0.36342,                0.81825,             1.8625e-05,             1.8625e-05,             1.8625e-05
